winners,losers,matchDate,isBagel,score,headStart
0.05,0.10,2020-02-23T00:00:00.000Z,false,6:4,0
0.10,0.15,2020-02-23T00:00:00.000Z,false,6:3,-1
0.10,0.05,2020-02-23T00:00:00.000Z,false,7:5,0
0.25,0.30,2020-02-23T00:00:00.000Z,false,6:4,0
0.35,0.10,2020-02-20T00:00:00.000Z,false,6:1,0
0.40,0.45,2020-02-20T00:00:00.000Z,false,6:4,0
0.45,0.50,2020-02-20T00:00:00.000Z,false,6:4,0
0.55,0.60,2020-02-20T00:00:00.000Z,false,6:2,0
0.10,0.05,2020-02-20T00:00:00.000Z,false,6:4,0
0.55,0.65,2020-02-17T00:00:00.000Z,false,7:5,0
0.70,0.75,2020-02-17T00:00:00.000Z,false,7:5,0
0.10,0.35,2020-02-14T00:00:00.000Z,false,7:6,0
0.45,0.50,2020-02-13T00:00:00.000Z,true,6:1,0
0.50,0.80,2020-02-13T00:00:00.000Z,false,7:6,0
0.70,0.85,2020-02-10T00:00:00.000Z,false,6:4,0
0.85,0.05,2020-02-10T00:00:00.000Z,false,6:1,0
0.35,0.90,2020-02-10T00:00:00.000Z,false,6:1,0
0.55,0.70,2020-02-10T00:00:00.000Z,false,6:2,0
0.30,0.55,2020-02-10T00:00:00.000Z,true,6:2,0
0.95,0.75,2020-02-09T00:00:00.000Z,false,7:5,0
0.95,0.75,2020-02-09T00:00:00.000Z,false,7:6,0
0.95,0.75,2020-02-09T00:00:00.000Z,false,7:6,0
1.00,1.05,2020-02-05T00:00:00.000Z,false,6:3,0
1.10,0.75,2020-02-05T00:00:00.000Z,false,6:4,0
0.45,0.50,2020-02-05T00:00:00.000Z,false,6:4,0
1.15,0.55,2020-02-05T00:00:00.000Z,false,6:3,0
1.20,0.70,2020-02-05T00:00:00.000Z,false,7:6,0
0.90,1.30,2020-02-05T00:00:00.000Z,false,6:1,0
1.35,1.40,2020-01-28T00:00:00.000Z,false,6:3,0
0.50,0.15,2020-01-28T00:00:00.000Z,false,6:3,0
0.25,0.15,2020-01-28T00:00:00.000Z,false,6:2,0
1.05,0.85,2020-01-28T00:00:00.000Z,false,6:3,0
0.75,0.70,2020-01-28T00:00:00.000Z,false,6:3,0
1.45,0.50,2020-01-28T00:00:00.000Z,false,7:5,0
1.50,1.55,2020-01-26T00:00:00.000Z,false,6:3,-1
0.85,0.75,2020-01-26T00:00:00.000Z,false,7:5,0
0.55,1.60,2020-01-26T00:00:00.000Z,false,6:2,0
1.50,1.00,2020-01-26T00:00:00.000Z,false,6:3,0
0.10,0.15,2020-01-21T00:00:00.000Z,false,6:1,0
0.30,0.55,2020-01-21T00:00:00.000Z,false,6:3,0
0.40,0.15,2020-01-21T00:00:00.000Z,false,6:3,0
1.15,1.65,2020-01-21T00:00:00.000Z,false,7:6,0
1.20,0.55,2020-01-21T00:00:00.000Z,false,6:4,0
0.10,0.30,2020-01-21T00:00:00.000Z,false,6:4,0
1.40,1.30,2020-01-19T00:00:00.000Z,false,6:1,0
1.40,1.30,2020-01-19T00:00:00.000Z,false,6:3,0
1.30,1.40,2020-01-19T00:00:00.000Z,false,7:5,0
0.30,0.50,2020-01-14T00:00:00.000Z,false,7:5,0
0.90,1.70,2020-01-14T00:00:00.000Z,false,6:2,0
1.75,0.75,2020-01-14T00:00:00.000Z,false,6:4,-2
0.15,0.50,2020-01-14T00:00:00.000Z,false,7:5,0
1.80,1.85,2020-01-14T00:00:00.000Z,false,6:2,0
1.45,1.85,2020-01-14T00:00:00.000Z,false,6:4,-2
1.15,1.45,2020-01-08T00:00:00.000Z,false,6:4,0
0.50,1.90,2020-01-08T00:00:00.000Z,false,6:3,0
1.10,1.95,2020-01-08T00:00:00.000Z,false,6:2,0
1.45,0.50,2020-01-08T00:00:00.000Z,false,6:3,1
1.35,1.40,2020-01-08T00:00:00.000Z,false,6:2,0
0.70,2.00,2020-01-08T00:00:00.000Z,false,7:6,0
1.90,1.25,2020-01-01T00:00:00.000Z,false,6:4,-1
1.45,0.55,2020-01-01T00:00:00.000Z,false,6:3,0.15
0.70,0.55,2020-01-01T00:00:00.000Z,false,6:2,0.15
0.45,1.25,2020-01-01T00:00:00.000Z,false,7:6,-1.15
0.70,0.55,2020-01-01T00:00:00.000Z,false,7:5,undefined
