winners,losers,matchDate,isBagel,score,headStart
GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-05T00:00:00.000Z,false,6:4,0
mdPC8NJKtK1sJtoo8Wae;fC98k2vULrb9HCOpoHts,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-05T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;mdPC8NJKtK1sJtoo8Wae,GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,2020-02-05T00:00:00.000Z,false,7:6,0
Zuw8wJhOlMiKg1h9WOgH;R0YcF7WNYUQolBtbGDKv,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;JUiZ9HOtW1eLsUTvtndZ,2020-02-05T00:00:00.000Z,false,6:1,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;R0YcF7WNYUQolBtbGDKv,mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,2020-01-28T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-01-28T00:00:00.000Z,false,6:3,0
Zuw8wJhOlMiKg1h9WOgH;fC98k2vULrb9HCOpoHts,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-01-28T00:00:00.000Z,false,6:2,0
fC98k2vULrb9HCOpoHts;R0YcF7WNYUQolBtbGDKv,Zuw8wJhOlMiKg1h9WOgH;lc8spNis0olchFNm30nJ,2020-01-28T00:00:00.000Z,false,6:3,0
mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,2020-01-28T00:00:00.000Z,false,6:3,0
GjwUVaV3jOYr8iVbXTJp;JUiZ9HOtW1eLsUTvtndZ,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-28T00:00:00.000Z,false,7:5,0
lc8spNis0olchFNm30nJ;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,Zuw8wJhOlMiKg1h9WOgH;mdPC8NJKtK1sJtoo8Wae,2020-01-26T00:00:00.000Z,false,6:3,-1
Zuw8wJhOlMiKg1h9WOgH;lc8spNis0olchFNm30nJ,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-26T00:00:00.000Z,false,7:5,0
Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,lc8spNis0olchFNm30nJ;mdPC8NJKtK1sJtoo8Wae,2020-01-26T00:00:00.000Z,false,6:2,0
lc8spNis0olchFNm30nJ;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,mdPC8NJKtK1sJtoo8Wae;Zuw8wJhOlMiKg1h9WOgH,2020-01-26T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-01-21T00:00:00.000Z,false,6:1,0
GjwUVaV3jOYr8iVbXTJp;lc8spNis0olchFNm30nJ,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-21T00:00:00.000Z,false,6:3,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;fC98k2vULrb9HCOpoHts,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-01-21T00:00:00.000Z,false,6:3,0
mdPC8NJKtK1sJtoo8Wae;fC98k2vULrb9HCOpoHts,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;Zuw8wJhOlMiKg1h9WOgH,2020-01-21T00:00:00.000Z,false,7:6,0
fC98k2vULrb9HCOpoHts;mdPC8NJKtK1sJtoo8Wae,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-21T00:00:00.000Z,false,6:4,0
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,GjwUVaV3jOYr8iVbXTJp;lc8spNis0olchFNm30nJ,2020-01-21T00:00:00.000Z,false,6:4,0
mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;JUiZ9HOtW1eLsUTvtndZ,2020-01-19T00:00:00.000Z,false,6:1,0
mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;JUiZ9HOtW1eLsUTvtndZ,2020-01-19T00:00:00.000Z,false,6:3,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,2020-01-19T00:00:00.000Z,false,7:5,0
GjwUVaV3jOYr8iVbXTJp;lc8spNis0olchFNm30nJ,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-01-14T00:00:00.000Z,false,7:5,0
